Utility: social_welfare_3
Metric: BinaryDiversityUtility
GRID_4DEG_WORLD, 2 types, random_init, value: 0.883024353839203
GRID_8DEG_WORLD, 8 types, schelling_init, value: 0.8791157853160881
CYLINDER_WORLD, 7 types, random_init, value: 0.8716428842888837
GRID_4DEG_WORLD, 3 types, random_init, value: 0.8684709472841118
CYLINDER_WORLD, 2 types, random_init, value: 0.8608105554304184
CIRCLE_WORLD, 4 types, random_init, value: 0.8602664852060653
GRID_4DEG_WORLD, 8 types, random_init, value: 0.8517629984789923
CYLINDER_WORLD, 3 types, random_init, value: 0.8466283809269683
CYLINDER_WORLD, 6 types, random_init, value: 0.84509719772276
GRID_4DEG_WORLD, 2 types, schelling_init, value: 0.8432404631419359
CIRCLE_WORLD, 8 types, schelling_init, value: 0.8391557020999936
CIRCLE_WORLD, 7 types, schelling_init, value: 0.8354351772992792
CIRCLE_WORLD, 6 types, schelling_init, value: 0.8307641307994573
CYLINDER_WORLD, 2 types, schelling_init, value: 0.8306855067522663
GRID_4DEG_WORLD, 7 types, random_init, value: 0.8299834641029515
GRID_4DEG_WORLD, 4 types, random_init, value: 0.8268325440575762
CIRCLE_WORLD, 5 types, schelling_init, value: 0.8177245047362427
GRID_4DEG_WORLD, 3 types, schelling_init, value: 0.8131832675063084
CYLINDER_WORLD, 5 types, random_init, value: 0.8066507774408782
CIRCLE_WORLD, 3 types, random_init, value: 0.7989309416742775
GRID_4DEG_WORLD, 6 types, random_init, value: 0.7974909114980738
CIRCLE_WORLD, 4 types, schelling_init, value: 0.7972993951865993
CYLINDER_WORLD, 8 types, schelling_init, value: 0.7861934346085288
GRID_4DEG_WORLD, 8 types, schelling_init, value: 0.7729309222606107
GRID_4DEG_WORLD, 4 types, schelling_init, value: 0.7613246868409196
CYLINDER_WORLD, 7 types, schelling_init, value: 0.7606771081535684
CYLINDER_WORLD, 3 types, schelling_init, value: 0.7572152513248909
CIRCLE_WORLD, 3 types, schelling_init, value: 0.7537713775217765
GRID_4DEG_WORLD, 5 types, random_init, value: 0.7530739671254403
GRID_4DEG_WORLD, 7 types, schelling_init, value: 0.750052592741796
CYLINDER_WORLD, 4 types, random_init, value: 0.7453290833604755
CYLINDER_WORLD, 6 types, schelling_init, value: 0.737269719824798
GRID_4DEG_WORLD, 6 types, schelling_init, value: 0.7201238159139628
CYLINDER_WORLD, 5 types, schelling_init, value: 0.7022504228181896
GRID_4DEG_WORLD, 5 types, schelling_init, value: 0.6802663428873383
CYLINDER_WORLD, 4 types, schelling_init, value: 0.6462257483783348

Utility: number_of_colorful_edges
Metric: EntropyDivertiyUtility
CYLINDER_WORLD, 8 types, schelling_init, value: 0.9983166666666667
CYLINDER_WORLD, 8 types, random_init, value: 0.9982666666666666
GRID_4DEG_WORLD, 8 types, random_init, value: 0.9977750000000001
CIRCLE_WORLD, 8 types, random_init, value: 0.9976875000000001
