Utility: social_welfare_0
Metric: BinaryDiversityUtility
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.9992962962962965
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.9990555555555558
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.9990185185185185
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.9985925925925928
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.9982592592592595
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.9964814814814815
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.9958333333333333
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.9779074074074074
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.9683518518518518
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.9007407407407407
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.8884074074074074

Utility: social_welfare_1
Metric: DifferenceCountDiversityUtility
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.8840555555555555
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.8269444444444445
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.8155185185185184
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.792537037037037
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.7754074074074052
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.759962962962963
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.7220555555555558
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.6891481481481476
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.6871574074074075
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.6663148148148147
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.6639166666666667
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.6431666666666668
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.6107685185185185
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.5762037037037037

Utility: l2
Metric: DifferenceCountDiversityUtility
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.7110645738109916
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.6835496886589125
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.6459351967997339
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.6050663575885769
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.584884899481038
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.5796242496661541
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.5728985470532061
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.5475298047456952
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.5436019356111046
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.5329155145919723
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.5235461951581438
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.5035413019295049
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.476928561864144
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.47633600903053647
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.45211758508860667
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.41215443483159053

