GRID DEGREE,NUM TYPES,INITIALIZATION,UTILITY,STEPS,soc. wel. (Entropy),# colorful edges,Is max (soc. wel. (Entropy)),Is max (# colorful edges)
GRID_4DEG_WORLD,7,random_init,BinaryDiversityUtility,0.0,0.7753224614933809,0.8586374999999999,0,0
GRID_4DEG_WORLD,7,random_init,TypeCountingDiversityUtility,43.28,0.8332521244325913,0.9969375000000003,1,0
GRID_4DEG_WORLD,7,random_init,DifferenceCountDiversityUtility,42.75,0.8248326951817287,0.9984999999999999,0,0
GRID_4DEG_WORLD,7,random_init,EntropyDivertiyUtility,42.89,0.8299834641029515,0.9971625000000001,0,0
GRID_4DEG_WORLD,7,random_init,AvgDiffTypeCountingDiversityUtility,45.55,0.8293175862741102,1.0,0,1
GRID_4DEG_WORLD,7,schelling_init,BinaryDiversityUtility,13.4,0.5123038809243468,0.5229125,0,0
GRID_4DEG_WORLD,7,schelling_init,TypeCountingDiversityUtility,114.57,0.7777659618679258,0.9953750000000001,1,0
GRID_4DEG_WORLD,7,schelling_init,DifferenceCountDiversityUtility,109.61,0.7295164895819096,0.9983250000000001,0,0
GRID_4DEG_WORLD,7,schelling_init,EntropyDivertiyUtility,113.62,0.750052592741796,0.9967375000000002,0,0
GRID_4DEG_WORLD,7,schelling_init,AvgDiffTypeCountingDiversityUtility,113.95,0.7411552940159958,1.0,0,1
GRID_4DEG_WORLD,8,random_init,BinaryDiversityUtility,0.0,0.8003986262979788,0.8744999999999998,0,0
GRID_4DEG_WORLD,8,random_init,TypeCountingDiversityUtility,39.4,0.8548744003048391,0.99755,1,0
GRID_4DEG_WORLD,8,random_init,DifferenceCountDiversityUtility,38.89,0.8486290782705624,0.9986875000000001,0,0
GRID_4DEG_WORLD,8,random_init,EntropyDivertiyUtility,38.87,0.8517629984789923,0.9977750000000001,0,0
GRID_4DEG_WORLD,8,random_init,AvgDiffTypeCountingDiversityUtility,41.11,0.8510494936368499,1.0,0,1
GRID_4DEG_WORLD,8,schelling_init,BinaryDiversityUtility,10.87,0.5304506599255573,0.5297875000000001,0,0
GRID_4DEG_WORLD,8,schelling_init,TypeCountingDiversityUtility,112.14,0.7987036965228659,0.9967875000000003,1,0
GRID_4DEG_WORLD,8,schelling_init,DifferenceCountDiversityUtility,107.19,0.7551164228943912,0.9987874999999999,0,0
GRID_4DEG_WORLD,8,schelling_init,EntropyDivertiyUtility,110.73,0.7729309222606107,0.9975500000000003,0,0
GRID_4DEG_WORLD,8,schelling_init,AvgDiffTypeCountingDiversityUtility,110.44,0.7646096939420036,1.0,0,1
GRID_8DEG_WORLD,2,random_init,BinaryDiversityUtility,0.14,0.92415388770816,0.5024000000000001,0,0
GRID_8DEG_WORLD,2,random_init,TypeCountingDiversityUtility,0.14,0.92415388770816,0.5024000000000001,0,0
GRID_8DEG_WORLD,2,random_init,DifferenceCountDiversityUtility,71.18,0.9528063088783995,0.6859000000000001,0,1
GRID_8DEG_WORLD,2,random_init,EntropyDivertiyUtility,35.1,0.9648970363588342,0.6254500000000001,1,0
GRID_8DEG_WORLD,2,random_init,AvgDiffTypeCountingDiversityUtility,71.18,0.9528063088783995,0.6859000000000001,0,0
GRID_8DEG_WORLD,2,schelling_init,BinaryDiversityUtility,18.58,0.8106942111354829,0.4255500000000001,0,0
GRID_8DEG_WORLD,2,schelling_init,TypeCountingDiversityUtility,18.58,0.8106942111354829,0.4255500000000001,0,0
GRID_8DEG_WORLD,2,schelling_init,DifferenceCountDiversityUtility,89.75,0.9491283085646728,0.6918499999999999,1,1
GRID_8DEG_WORLD,2,schelling_init,EntropyDivertiyUtility,68.36,0.9454579735689699,0.6445750000000001,0,0
GRID_8DEG_WORLD,2,schelling_init,AvgDiffTypeCountingDiversityUtility,89.75,0.9491283085646728,0.6918499999999999,0,0
GRID_8DEG_WORLD,3,random_init,BinaryDiversityUtility,0.0,0.8885877331436499,0.6679062499999999,0,0
GRID_8DEG_WORLD,3,random_init,TypeCountingDiversityUtility,6.48,0.9143422084074636,0.7001125,0,0
GRID_8DEG_WORLD,3,random_init,DifferenceCountDiversityUtility,74.25,0.9474430576624969,0.8376812499999998,0,0
GRID_8DEG_WORLD,3,random_init,EntropyDivertiyUtility,68.13,0.9507251290165499,0.82416875,1,0
GRID_8DEG_WORLD,3,random_init,AvgDiffTypeCountingDiversityUtility,72.48,0.9476670038188055,0.8377749999999999,0,1
GRID_8DEG_WORLD,3,schelling_init,BinaryDiversityUtility,22.9,0.5612196439951544,0.41876874999999997,0,0
GRID_8DEG_WORLD,3,schelling_init,TypeCountingDiversityUtility,58.77,0.826362265043259,0.6632062500000001,0,0
GRID_8DEG_WORLD,3,schelling_init,DifferenceCountDiversityUtility,135.17,0.9338443212465224,0.8453624999999998,0,1
GRID_8DEG_WORLD,3,schelling_init,EntropyDivertiyUtility,134.91,0.9352806561634536,0.8356500000000001,0,0
GRID_8DEG_WORLD,3,schelling_init,AvgDiffTypeCountingDiversityUtility,117.15,0.9384963841719933,0.8444312500000001,1,0
GRID_8DEG_WORLD,4,random_init,BinaryDiversityUtility,0.0,0.8722095833104956,0.7507187499999999,0,0
